prompt_num,domain_display,size,antipattern_codes,antipattern_instance_counts,total_antipattern_instances,sample_type,task_mode,construct_count_reported,actors,use_cases,includes,extends,generalizations,total_parsed,count_matches_reported
157,Spa and Wellness Booking System,small,a4,1,1,antipattern,detect,10,2,5,1,0,0,8,False
157,Spa and Wellness Booking System,small,a4,1,1,refactored,detect,8,2,4,0,0,0,6,False
158,Coworking Space Booking System,small,a4,1,1,antipattern,detect,12,2,6,1,0,0,9,False
158,Coworking Space Booking System,small,a4,1,1,refactored,detect,10,2,5,0,0,0,7,False
159,Parking Lot Management System,medium,a4,3,3,antipattern,detect,27,4,14,3,1,0,22,False
159,Parking Lot Management System,medium,a4,3,3,refactored,detect,21,4,11,0,1,0,16,False
160,Escape Room Booking System,medium,a4,3,3,antipattern,detect,30,3,15,5,0,0,23,False
160,Escape Room Booking System,medium,a4,3,3,refactored,detect,24,3,12,2,0,0,17,False
161,Photography Studio Booking System,medium,a4,3,3,antipattern,detect,29,4,13,3,2,0,22,False
161,Photography Studio Booking System,medium,a4,3,3,refactored,detect,23,4,10,0,2,0,16,False
162,Pet Care Service Booking,small,a4,1,1,antipattern,detect,12,2,7,1,0,0,10,False
162,Pet Care Service Booking,small,a4,1,1,refactored,detect,10,2,6,0,0,0,8,False
163,Laundry Pickup Service,medium,a4,3,3,antipattern,detect,25,3,13,3,1,0,20,False
163,Laundry Pickup Service,medium,a4,3,3,refactored,detect,19,3,10,0,1,0,14,False
164,Self-Storage Facility System,medium,a4,3,3,antipattern,detect,29,3,13,3,1,0,20,False
164,Self-Storage Facility System,medium,a4,3,3,refactored,detect,23,3,10,0,1,0,14,False
165,Language Translation Service,medium,a4,3,3,antipattern,detect,28,3,14,4,0,0,21,False
165,Language Translation Service,medium,a4,3,3,refactored,detect,22,3,11,1,0,0,15,False
166,Event Decoration Booking System,medium,a4,3,3,antipattern,detect,28,3,12,3,2,0,20,False
166,Event Decoration Booking System,medium,a4,3,3,refactored,detect,22,3,9,0,2,0,14,False
167,Funeral Service Management System,medium,a4,3,3,antipattern,detect,28,4,15,3,1,0,23,False
167,Funeral Service Management System,medium,a4,3,3,refactored,detect,22,4,12,0,1,0,17,False
168,Notary Service Booking System,small,a4,1,1,antipattern,detect,13,2,7,1,0,0,10,False
168,Notary Service Booking System,small,a4,1,1,refactored,detect,11,2,6,0,0,0,8,False
169,Baby Equipment Rental Service,medium,a4,3,3,antipattern,detect,25,3,13,3,1,0,20,False
169,Baby Equipment Rental Service,medium,a4,3,3,refactored,detect,19,3,10,0,1,0,14,False
170,Price Comparison Portal,medium,a4,3,3,antipattern,detect,29,3,14,3,0,0,20,False
170,Price Comparison Portal,medium,a4,3,3,refactored,detect,23,3,11,0,0,0,14,False
171,Gift Registry System,small,a4,1,1,antipattern,detect,12,3,6,1,0,0,10,False
171,Gift Registry System,small,a4,1,1,refactored,detect,10,3,5,0,0,0,8,False
172,Print-on-Demand Platform,medium,a4,3,3,antipattern,detect,25,4,12,3,0,0,19,False
172,Print-on-Demand Platform,medium,a4,3,3,refactored,detect,19,4,9,0,0,0,13,False
173,Vending Machine Management System,medium,a4,3,3,antipattern,detect,24,3,12,3,0,0,18,False
173,Vending Machine Management System,medium,a4,3,3,refactored,detect,18,3,9,0,0,0,12,False
174,Second-Hand Clothing Marketplace,medium,a4,3,3,antipattern,detect,29,3,15,3,0,0,21,False
174,Second-Hand Clothing Marketplace,medium,a4,3,3,refactored,detect,23,3,12,0,0,0,15,False
175,Furniture Rental Service,small,a4,1,1,antipattern,detect,11,2,5,1,0,0,8,False
175,Furniture Rental Service,small,a4,1,1,refactored,detect,9,2,4,0,0,0,6,False
176,Farm Management System,small,a4,1,1,antipattern,detect,12,2,7,1,0,0,10,False
176,Farm Management System,small,a4,1,1,refactored,detect,10,2,6,0,0,0,8,False
177,Agricultural Marketplace,small,a4,1,1,antipattern,detect,13,3,7,1,0,0,11,False
177,Agricultural Marketplace,small,a4,1,1,refactored,detect,11,3,6,0,0,0,9,False
178,Solar Energy Management System,small,a4,1,1,antipattern,detect,11,2,5,1,0,0,8,False
178,Solar Energy Management System,small,a4,1,1,refactored,detect,9,2,4,0,0,0,6,False
179,Air Quality Monitoring System,small,a4,1,1,antipattern,detect,12,3,6,1,0,0,10,False
179,Air Quality Monitoring System,small,a4,1,1,refactored,detect,10,3,5,0,0,0,8,False
180,Crop Monitoring System,medium,a4,3,3,antipattern,detect,24,4,12,4,1,0,21,False
180,Crop Monitoring System,medium,a4,3,3,refactored,detect,18,4,9,1,1,0,15,False
181,Irrigation Control System,medium,a4,3,3,antipattern,detect,26,4,12,4,1,0,21,False
181,Irrigation Control System,medium,a4,3,3,refactored,detect,20,4,9,1,1,0,15,False
182,Wildlife Conservation System,small,a4,1,1,antipattern,detect,12,3,6,1,0,0,10,False
182,Wildlife Conservation System,small,a4,1,1,refactored,detect,10,3,5,0,0,0,8,False
183,Forest Fire Detection System,small,a4,1,1,antipattern,detect,9,2,5,1,0,0,8,False
183,Forest Fire Detection System,small,a4,1,1,refactored,detect,7,2,4,0,0,0,6,False
184,Factory Floor Management System,small,a4,1,1,antipattern,detect,10,2,5,1,0,0,8,False
184,Factory Floor Management System,small,a4,1,1,refactored,detect,8,2,4,0,0,0,6,False
185,Quality Control System,small,a4,1,1,antipattern,detect,10,2,5,1,0,0,8,False
185,Quality Control System,small,a4,1,1,refactored,detect,8,2,4,0,0,0,6,False
186,Equipment Maintenance System,small,a4,1,1,antipattern,detect,10,2,5,1,0,0,8,False
186,Equipment Maintenance System,small,a4,1,1,refactored,detect,8,2,4,0,0,0,6,False
187,Assembly Line Monitoring System,medium,a4,3,3,antipattern,detect,24,3,11,3,1,0,18,False
187,Assembly Line Monitoring System,medium,a4,3,3,refactored,detect,18,3,8,0,1,0,12,False
188,Industrial Safety Reporting System,medium,a4,3,3,antipattern,detect,30,4,15,5,0,0,24,False
188,Industrial Safety Reporting System,medium,a4,3,3,refactored,detect,24,4,12,2,0,0,18,False
189,Product Recall Management System,medium,a4,3,3,antipattern,detect,30,5,14,5,1,0,25,False
189,Product Recall Management System,medium,a4,3,3,refactored,detect,24,5,11,2,1,0,19,False
190,Hazardous Materials Tracking System,small,a4,1,1,antipattern,detect,13,3,7,1,0,0,11,False
190,Hazardous Materials Tracking System,small,a4,1,1,refactored,detect,11,3,6,0,0,0,9,False
191,Military Personnel Management System,small,a4,1,1,antipattern,detect,11,2,5,1,0,0,8,False
191,Military Personnel Management System,small,a4,1,1,refactored,detect,9,2,4,0,0,0,6,False
192,Border Control System,medium,a4,3,3,antipattern,detect,25,4,13,3,1,1,22,False
192,Border Control System,medium,a4,3,3,refactored,detect,19,4,10,0,1,1,16,False
193,Graphic Novel Platform,small,a4,1,1,antipattern,detect,12,2,7,1,0,0,10,False
193,Graphic Novel Platform,small,a4,1,1,refactored,detect,10,2,6,0,0,0,8,False
194,Fan Fiction Community,small,a4,1,1,antipattern,detect,12,2,6,1,0,0,9,False
194,Fan Fiction Community,small,a4,1,1,refactored,detect,10,2,5,0,0,0,7,False
